ID,GeneAssociation,Fullname,Reaction,LowBound,UpBound
R_FCLT, b0475, "Ferrochelatase", M_fe2_c + M_ppp9_c -> 2.0 M_h_c + M_pheme_c, 0.0, 999999.0
R_GART, b1849, "GAR transformylase-T", M_atp_c + M_for_c + M_gar_c -> M_adp_c + M_fgam_c + M_h_c + M_pi_c, 0.0, 999999.0
R_DHDPS, b2478, "Dihydrodipicolinate synthase", M_aspsa_c + M_pyr_c -> M_23dhdp_c + 2.0 M_h2o_c + M_h_c, 0.0, 999999.0
R_AMANK, b3222, "N-acetyl-D-mannosamine kinase", M_acmana_c + M_atp_c -> M_acmanap_c + M_adp_c + M_h_c, 0.0, 999999.0
R_MALTpts, (b1621 & b2415 & b2417 & b2416 & b4036), "Maltose transport via PEP:Pyr PTS", M_malt_e + M_pep_c -> M_malt6p_c + M_pyr_c, 0.0, 999999.0
R_XYLI2, b3565, "Xylose isomerase", M_glc__D_c <-> M_fru_c, -999999.0, 0.0
R_LCADi_copy1, (b1300 | b1415 | b0356 | b3588), "Lactaldehyde dehydrogenase", M_h2o_c + M_lald__L_c + M_nad_c <-> 2.0 M_h_c + M_lac__L_c + M_nadh_c, -999999.0, 999999.0
R_CITt7, b0612, "Citrate transport via succinate antiport", M_cit_e + M_succ_c -> M_cit_c + M_succ_e, 0.0, 999999.0
R_MLTG1, b0403, "Maltodextrin glucosidase (maltotriose)", M_h2o_c + M_malttr_c -> M_glc__D_c + M_malt_c, 0.0, 999999.0
R_CYTDK2, b2066, "Cytidine kinase (GTP)", M_cytd_c + M_gtp_c -> M_cmp_c + M_gdp_c + M_h_c, 0.0, 999999.0
R_ACONT, (b1276 | b0118), "Aconitate hydratase", M_cit_c <-> M_icit_c, -999999.0, 999999.0
R_CRNt7, b0040, "Carnitine/butyrobetaine antiporter", M_crn_e + M_gbbtn_c -> M_crn_c + M_gbbtn_e, 0.0, 999999.0
R_ASNS1, b0674, "Asparagine synthase (glutamine-hydrolysing)", M_asp__L_c + M_atp_c + M_gln__L_c + M_h2o_c -> M_amp_c + M_asn__L_c + M_glu__L_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_PMPK, b2103, "Phosphomethylpyrimidine kinase", M_4ampm_c + M_atp_c -> M_2mahmp_c + M_adp_c, 0.0, 999999.0
R_HSTPT, b2021, "Histidinol-phosphate transaminase", M_glu__L_c + M_imacp_c -> M_akg_c + M_hisp_c, 0.0, 999999.0
R_TRE6PH, b4239, "Trehalose-6-phosphate hydrolase", M_h2o_c + M_tre6p_c -> M_g6p_c + M_glc__D_c, 0.0, 999999.0
R_TRPS2, (b1260 & b1261), "Tryptophan synthase (indole)", M_indole_c + M_ser__L_c -> M_h2o_c + M_trp__L_c, 0.0, 999999.0
R_SGDS, b1744, "Succinylglutamate desuccinylase", M_h2o_c + M_sucglu_c -> M_glu__L_c + M_succ_c, 0.0, 999999.0
R_ME2, b2463, "Malic enzyme (NADP)", M_mal__L_c + M_nadp_c -> M_co2_c + M_nadph_c + M_pyr_c, 0.0, 999999.0
R_HISTD, b2020, "Histidinol dehydrogenase", M_h2o_c + M_histd_c + 2.0 M_nad_c -> 3.0 M_h_c + M_his__L_c + 2.0 M_nadh_c, 0.0, 999999.0
R_IGPS, b1262, "Indole-3-glycerol-phosphate synthase", M_2cpr5p_c + M_h_c -> M_3ig3p_c + M_co2_c + M_h2o_c, 0.0, 999999.0
R_MCITL2, b0331, "Methylisocitrate lyase", M_micit_c <-> M_pyr_c + M_succ_c, -999999.0, 999999.0
R_EX_glyc_e, , "Glycerol exchange", M_glyc_e <-> M_glyc_b, -999999.0, 999999.0
R_EX_etoh_e, , "Ethanol exchange", M_etoh_e <-> M_etoh_b, -999999.0, 999999.0
R_GLCpts, ((b2415 & b2417 & b2416 & b1101) | (b2415 & b2416 & b1818 & b1817 & b1819) | (b1621 & b2415 & b2417 & b2416)), "D-glucose transport via PEP:Pyr PTS", M_glc__D_e + M_pep_c -> M_g6p_c + M_pyr_c, 0.0, 999999.0
R_EX_fe2_e, , "Fe2+ exchange", M_fe2_e <-> M_fe2_b, -999999.0, 999999.0
R_TRE6PS, b1896, "Alpha,alpha-trehalose-phosphate synthase (UDP-forming)", M_g6p_c + M_udpg_c -> M_h_c + M_tre6p_c + M_udp_c, 0.0, 999999.0
R_RPI, (b2914 | b4090), "Ribose-5-phosphate isomerase", M_r5p_c <-> M_ru5p__D_c, -999999.0, 999999.0
R_NDPK1, b2518, "Nucleoside-diphosphate kinase (ATP:GDP)", M_atp_c + M_gdp_c <-> M_adp_c + M_gtp_c, -999999.0, 999999.0
R_EX_indole_e, , "Indole exchange", M_indole_e <-> M_indole_b, -999999.0, 999999.0
R_EX_met__D_e, , "D-Methionine exchange", M_met__D_e <-> M_met__D_b, -999999.0, 999999.0
R_KDOCT2, b0918, "3-deoxy-manno-octulosonate cytidylyltransferase", M_ctp_c + M_kdo_c -> M_ckdo_c + M_ppi_c, 0.0, 999999.0
R_FRD2, (b4151 & b4154 & b4153 & b4152), "Fumarate reductase", M_fum_c + M_mql8_c -> M_mqn8_c + M_succ_c, 0.0, 999999.0
R_EX_gsn_e, , "Guanosine exchange", M_gsn_e <-> M_gsn_b, -999999.0, 999999.0
R_GLUDC, (b3517 | b1493), "Glutamate Decarboxylase", M_glu__L_c + M_h_c -> M_4abut_c + M_co2_c, 0.0, 999999.0
R_PYNP2r, b3831, "Pyrimidine-nucleoside phosphorylase (uracil)", M_pi_c + M_uri_c <-> M_r1p_c + M_ura_c, -999999.0, 999999.0
R_ALATA_D2, b2551, "D-alanine transaminase", M_ala__D_c + M_pydx5p_c -> M_pyam5p_c + M_pyr_c, 0.0, 999999.0
R_EX_lys__L_e, , "L-Lysine exchange", M_lys__L_e <-> M_lys__L_b, -999999.0, 999999.0
R_ORNTA, b3073, "Ornithine transaminase", M_akg_c + M_orn_c -> M_glu5sa_c + M_glu__L_c, 0.0, 999999.0
R_H2Ot, , "H2O transport via diffusion", M_h2o_e <-> M_h2o_c, -999999.0, 999999.0
R_GTHOr, b3500, "Glutathione oxidoreductase", M_gthox_c + M_h_c + M_nadph_c <-> 2.0 M_gthrd_c + M_nadp_c, -999999.0, 999999.0
R_VALt2r, b0401, "L valine reversible transport via proton symport", M_h_e + M_val__L_e <-> M_h_c + M_val__L_c, -999999.0, 999999.0
R_ABTA, (b2662 | b1302), "4-aminobutyrate transaminase", M_4abut_c + M_akg_c -> M_glu__L_c + M_sucsal_c, 0.0, 999999.0
R_AMALT4, b3416, "Amylomaltase (maltohexaose)", M_malt_c + M_malthx_c -> M_glc__D_c + M_malthp_c, 0.0, 999999.0
R_LPLIPA3, b3825, "Lysophospholipase L (acyl-glycerophosphocholine)", 0.02 M_agpc_EC_c + M_h2o_c -> M_g3pc_c + M_h_c + 0.36 M_hdca_c + 0.07 M_hdcea_c + 0.5 M_ocdcea_c + 0.02 M_ttdca_c + 0.05 M_ttdcea_c, 0.0, 999999.0
R_PDX5POi, b1638, "Pyridoxine 5'-phosphate oxidase", M_o2_c + M_pdx5p_c <-> M_h2o2_c + M_pydx5p_c, -999999.0, 999999.0
R_PSCVT, b0908, "3-phosphoshikimate 1-carboxyvinyltransferase", M_pep_c + M_skm5p_c <-> M_3psme_c + M_pi_c, -999999.0, 999999.0
R_ADEt2, b3654, "Adenine transport in via proton symport", M_ade_e + M_h_e <-> M_ade_c + M_h_c, -999999.0, 999999.0
R_PNTOt4, b3258, "Pantothenate sodium symporter", M_na1_e + M_pnto__R_e -> M_na1_c + M_pnto__R_c, 0.0, 999999.0
R_EDTXS2, b1855, "Endotoxin Synthesis (myristoyl transferase)", M_kdo2lipid4L_c + M_myrsACP_c -> M_ACP_c + M_lipa_c, 0.0, 999999.0
R_GAPD, ((b1417 & b1416) | b1779), "Glyceraldehyde-3-phosphate dehydrogenase", M_g3p_c + M_nad_c + M_pi_c <-> M_13dpg_c + M_h_c + M_nadh_c, -999999.0, 999999.0
R_UAGCVT, b3189, "UDP-N-acetylglucosamine 1-carboxyvinyltransferase", M_pep_c + M_uacgam_c -> M_pi_c + M_uaccg_c, 0.0, 999999.0
R_ADK3, b0474, "Adentylate kinase (GTP)", M_amp_c + M_gtp_c <-> M_adp_c + M_gdp_c, -999999.0, 999999.0
R_NNAM, b1768, "Nicotinamidase", M_h2o_c + M_ncam_c -> M_nac_c + M_nh4_c, 0.0, 999999.0
R_DGK1, b3648, "Deoxyguanylate kinase (dGMP:ATP)", M_atp_c + M_dgmp_c <-> M_adp_c + M_dgdp_c, -999999.0, 999999.0
R_UGLT, b0758, "UDPglucose--hexose-1-phosphate uridylyltransferase", M_gal1p_c + M_udpg_c <-> M_g1p_c + M_udpgal_c, -999999.0, 999999.0
R_OPHBDC, (b3843 | b2311), "Octaprenyl-hydroxybenzoate decarboxylase", M_3ophb_c + M_h_c -> M_2oph_c + M_co2_c, 0.0, 999999.0
R_DB4PS, b3041, "3,4-Dihydroxy-2-butanone-4-phosphate synthase", M_ru5p__D_c -> M_db4p_c + M_for_c + M_h_c, 0.0, 999999.0
R_HYPOE, , "Hypothetical enyme", M_h2o_c + M_pyam5p_c -> M_pi_c + M_pydam_c, 0.0, 999999.0
R_ILEt2r, b0401, "L isoleucine reversible transport via proton symport", M_h_e + M_ile__L_e <-> M_h_c + M_ile__L_c, -999999.0, 999999.0
R_ACBIPGT, b1993, "Adenosyl cobinamide phosphate guanyltransferase", M_adocbip_c + M_gtp_c + M_h_c -> M_agdpcbi_c + M_ppi_c, 0.0, 999999.0
R_LCTSt, b0343, "Lactose transport via proton symport", M_h_e + M_lcts_e <-> M_h_c + M_lcts_c, -999999.0, 999999.0
R_GLUTRR, b1210, "Glutamyl-tRNA reductase", M_glutrna_c + M_h_c + M_nadph_c -> M_glu1sa_c + M_nadp_c + M_trnaglu_c, 0.0, 999999.0
R_CBMKr, (b0521 | b0323 | b2874), "Carbamate kinase", M_atp_c + M_co2_c + M_nh4_c -> M_adp_c + M_cbp_c + 2.0 M_h_c, 0.0, 999999.0
R_ASP1DC, b0131, "Aspartate 1-decarboxylase", M_asp__L_c + M_h_c -> M_ala_B_c + M_co2_c, 0.0, 999999.0
R_CYSDS, b3708, "Cysteine Desulfhydrase", M_cys__L_c + M_h2o_c -> M_h2s_c + M_nh4_c + M_pyr_c, 0.0, 999999.0
R_GMAND, b2053, "GDP-D-mannose dehydratase", M_gdpmann_c -> M_gdpddman_c + M_h2o_c, 0.0, 999999.0
R_RMNt, b3907, "L-rhamnose transport via proton symport", M_h_e + M_rmn_e -> M_h_c + M_rmn_c, 0.0, 999999.0
R_EX_crn_e, , "L-Carnitine exchange", M_crn_e <-> M_crn_b, -999999.0, 999999.0
R_EX_glu__L_e, , "L-Glutamate exchange", M_glu__L_e <-> M_glu__L_b, -999999.0, 999999.0
R_ASNS2, b3744, "Asparagine synthetase", M_asp__L_c + M_atp_c + M_nh4_c -> M_amp_c + M_asn__L_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_AMALT1, b3416, "Amylomaltase (maltotriose)", M_malt_c + M_malttr_c -> M_glc__D_c + M_maltttr_c, 0.0, 999999.0
R_BTS2, b0775, "Biotin synthase (ala-L producing)", M_cys__L_c + M_dtbt_c <-> M_ala__L_c + M_btn_c + 2.0 M_h_c, -999999.0, 999999.0
R_GLU5K, b0242, "Glutamate 5-kinase", M_atp_c + M_glu__L_c -> M_adp_c + M_glu5p_c, 0.0, 999999.0
R_THMabc, (b0066 & b0067 & b0068), "Thiamine transport via ABC system", M_atp_c + M_h2o_c + M_thm_e -> M_adp_c + M_h_c + M_pi_c + M_thm_c, 0.0, 999999.0
R_GLYALDt, b3927, "Glyceraldehyde facilitated diffusion", M_glyald_e <-> M_glyald_c, -999999.0, 999999.0
R_DMSOR2e, (b1873 & b1872), "Dimethyl sulfoxide reductase (Demethylmenaquinol 8)", M_2dmmql8_c + M_dmso_e -> M_2dmmq8_c + M_dms_e + M_h2o_e, 0.0, 999999.0
R_IMPC, b4006, "IMP cyclohydrolase", M_h2o_c + M_imp_c <-> M_fprica_c, -999999.0, 999999.0
R_EX_ser__D_e, , "D-Serine exchange", M_ser__D_e <-> M_ser__D_b, -999999.0, 999999.0
R_TGBPA, ((b3137 & b3132) | (b2096 & b2095)), "Tagatose-bisphosphate aldolase", M_tagdp__D_c <-> M_dhap_c + M_g3p_c, -999999.0, 999999.0
R_SUCpts, (b2415 & b2417 & b2429 & b2416), "Sucrose transport via PEP:Pyr PTS", M_pep_c + M_sucr_e -> M_pyr_c + M_suc6p_c, 0.0, 999999.0
R_CITL, (b0615 & b0616 & b0617), "Citrate lyase", M_cit_c -> M_ac_c + M_oaa_c, 0.0, 999999.0
R_G3PD5, ((b2242 & b2241 & b2243) | b3426), "Glycerol-3-phosphate dehydrogenase (ubiquinone-8)", M_glyc3p_c + M_q8_c -> M_dhap_c + M_q8h2_c, 0.0, 999999.0
R_KAS16, ((b2323 & b1093) | (b1095 & b1093)), "3-hydroxy-myristoyl-ACP synthesis", M_ddcaACP_c + 2.0 M_h_c + M_malACP_c + M_nadph_c -> M_3hmrsACP_c + M_ACP_c + M_co2_c + M_nadp_c, 0.0, 999999.0
R_ORNabc, (b2310 & b2308 & b2307 & b2306), "Ornithine transport via ABC system", M_atp_c + M_h2o_c + M_orn_e -> M_adp_c + M_h_c + M_orn_c + M_pi_c, 0.0, 999999.0
R_AIRC2, b0522, "Phosphoribosylaminoimidazole carboxylase", M_air_c + M_atp_c + M_hco3_c -> M_5caiz_c + M_adp_c + M_h_c + M_pi_c, 0.0, 999999.0
R_ASPO5_1, b2574, "L-aspartate oxidase", M_asp__L_c + M_fum_c -> M_iasp_c + M_succ_c, 0.0, 999999.0
R_NTPP2, (b2781 | b0099), "Nucleoside triphosphate pyrophosphorylase (gtp)", M_gtp_c + M_h2o_c -> M_gmp_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_EX_galt_e, , "Galactitol exchange", M_galt_e <-> M_galt_b, -999999.0, 999999.0
R_DOGULNR, b3575, "2,3 dioxo-L-gulonate reductase", M_23doguln_c + M_h_c + M_nadh_c -> M_3dhguln_c + M_nad_c, 0.0, 999999.0
R_FHL, (b4079 & (b2721 & b2723 & b2724 & b2722 & b2720 & b2719)), "Formate-hydrogen lyase", M_for_c + M_h_c -> M_co2_c + M_h2_c, 0.0, 999999.0
R_NTD1, b0480, "5'-nucleotidase (dUMP)", M_dump_c + M_h2o_c -> M_duri_c + M_pi_c, 0.0, 999999.0
R_VALabc, (b3455 & b3454 & b3460 & b3457 & b3456), "L-valine transport via ABC system", M_atp_c + M_h2o_c + M_val__L_e -> M_adp_c + M_h_c + M_pi_c + M_val__L_c, 0.0, 999999.0
R_DHBD, b0596, "2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase", M_23ddhb_c + M_nad_c <-> M_23dhb_c + M_h_c + M_nadh_c, -999999.0, 999999.0
R_CHORM, (b2600 | b2599), "Chorismate mutase", M_chor_c -> M_pphn_c, 0.0, 999999.0
R_X5PL3E, b4197, "L-xylulose 5-phosphate 3-epimerase", M_xu5p__L_c -> M_ru5p__L_c, 0.0, 999999.0
R_EX_sbt__D_e, , "D-Sorbitol exchange", M_sbt__D_e <-> M_sbt__D_b, -999999.0, 999999.0
R_NNDMBRT, b1991, "Nicotinate-nucleotide dimethylbenzimidazole phosphoribosyltransferase", M_dmbzid_c + M_nicrnt_c -> M_5prdmbz_c + M_h_c + M_nac_c, 0.0, 999999.0
R_TARTRt7, b3063, "Tartrate/succinate antiporter", M_succ_c + M_tartr__L_e <-> M_succ_e + M_tartr__L_c, -999999.0, 999999.0
R_EX_leu__L_e, , "L-Leucine exchange", M_leu__L_e <-> M_leu__L_b, -999999.0, 999999.0
R_CRNCDH, b0036, "Carnityl-CoA dehydratse", M_crncoa_c <-> M_ctbtcoa_c + M_h2o_c, -999999.0, 999999.0
R_CYTK2, b0910, "Cytidylate kinase (dCMP)", M_atp_c + M_dcmp_c <-> M_adp_c + M_dcdp_c, -999999.0, 999999.0
R_EX_malthx_e, , "Maltohexaose exchange", M_malthx_e <-> M_malthx_b, -999999.0, 999999.0
R_ACPS1, b2563, "Acyl-carrier protein synthase", M_apoACP_c + M_coa_c -> M_ACP_c + M_h_c + M_pap_c, 0.0, 999999.0
R_APRAUR, b0414, "5-amino-6-(5-phosphoribosylamino)uracil reductase", M_5apru_c + M_h_c + M_nadph_c -> M_5aprbu_c + M_nadp_c, 0.0, 999999.0
R_RBP4E, (b0061 | b3583 | b4198), "L-ribulose-phosphate 4-epimerase", M_ru5p__L_c <-> M_xu5p__D_c, -999999.0, 999999.0
R_NADH9, b1109, "NADH dehydrogenase (demethylmenaquinone-8 & 0 protons)", M_2dmmq8_c + M_h_c + M_nadh_c -> M_2dmmql8_c + M_nad_c, 0.0, 999999.0
R_ORNDC, (b2965 | b0693), "Ornithine Decarboxylase", M_h_c + M_orn_c -> M_co2_c + M_ptrc_c, 0.0, 999999.0
R_EX_pppn_e, , "Phenylpropanoate exchange", M_pppn_e <-> M_pppn_b, -999999.0, 999999.0
R_RZ5PP, b0638, "Alpha-ribazole 5-phosphate phosphatase", M_5prdmbz_c + M_h2o_c -> M_pi_c + M_rdmbzi_c, 0.0, 999999.0
R_EX_ins_e, , "Inosine exchange", M_ins_e <-> M_ins_b, -999999.0, 999999.0
R_PTRCORNt7, b0692, "Putrescine/ornithine antiporter", M_orn_c + M_ptrc_e <-> M_orn_e + M_ptrc_c, -999999.0, 999999.0
R_ADNt2_copy1, (b2964 | b2393), "Adenosine transport in via proton symport", M_adn_e + M_h_e -> M_adn_c + M_h_c, 0.0, 999999.0
R_MDRPD, , "5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase", M_5mdru1p_c -> M_dkmpp_c + M_h2o_c, 0.0, 999999.0
R_GLYC3Pt6, b2240, "Glycerol-3-phosphate : phosphate antiporter", M_glyc3p_e + M_pi_c -> M_glyc3p_c + M_pi_e, 0.0, 999999.0
R_EDA, b1850, "2-dehydro-3-deoxy-phosphogluconate aldolase", M_2ddg6p_c -> M_g3p_c + M_pyr_c, 0.0, 999999.0
R_SERD_L, ((b3112 & b3111) | b1814 | b3708 | b2797), "L-serine deaminase", M_ser__L_c -> M_nh4_c + M_pyr_c, 0.0, 999999.0
R_EX_xyl__D_e, , "D-Xylose exchange", M_xyl__D_e <-> M_xyl__D_b, -999999.0, 999999.0
R_XTSNt2, b2406, "Xanthosine transport in via proton symport", M_h_e + M_xtsn_e <-> M_h_c + M_xtsn_c, -999999.0, 999999.0
R_NTPP4, b2781, "Nucleoside triphosphate pyrophosphorylase (ctp)", M_ctp_c + M_h2o_c -> M_cmp_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_EX_h2o_e, , "H2O exchange", M_h2o_e <-> M_h2o_b, -999999.0, 999999.0
R_EX_asp__L_e, , "L-Aspartate exchange", M_asp__L_e <-> M_asp__L_b, -999999.0, 999999.0
R_GLYCDx, b3945, "Glycerol dehydrogenase", M_glyc_c + M_nad_c -> M_dha_c + M_h_c + M_nadh_c, 0.0, 999999.0
R_Kabc, (b0698 & b0697 & b0696), "Potassium ABC transporter", M_atp_c + M_h2o_c + M_k_e -> M_adp_c + M_h_c + M_k_c + M_pi_c, 0.0, 999999.0
R_LEUt2r, b0401, "L leucine reversible transport via proton symport", M_h_e + M_leu__L_e <-> M_h_c + M_leu__L_c, -999999.0, 999999.0
R_PHEt2r, (b0112 | b0576), "L phenylalanine reversible transport via proton symport", M_h_e + M_phe__L_e <-> M_h_c + M_phe__L_c, -999999.0, 999999.0
R_TRPS3, (b1260 & b1261), "Tryptophan synthase (indoleglycerol phosphate)", M_3ig3p_c -> M_g3p_c + M_indole_c, 0.0, 999999.0
R_PANTS, b0133, "Pantothenate synthase", M_ala_B_c + M_atp_c + M_pant__R_c -> M_amp_c + M_h_c + M_pnto__R_c + M_ppi_c, 0.0, 999999.0
R_PFK, (b3916 | b1723), "Phosphofructokinase", M_atp_c + M_f6p_c -> M_adp_c + M_fdp_c + M_h_c, 0.0, 999999.0
R_BETALDHx, b0312, "Betaine-aldehyde dehydrogenase", M_betald_c + M_h2o_c + M_nad_c -> M_glyb_c + 2.0 M_h_c + M_nadh_c, 0.0, 999999.0
R_KDOPS, b1215, "3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase", M_ara5p_c + M_h2o_c + M_pep_c -> M_kdo8p_c + M_pi_c, 0.0, 999999.0
R_EX_urea_e, , "Urea exchange", M_urea_e <-> M_urea_b, -999999.0, 999999.0
R_PAPSR, b2762, "Phosphoadenylyl-sulfate reductase (thioredoxin)", M_paps_c + M_trdrd_c -> 2.0 M_h_c + M_pap_c + M_so3_c + M_trdox_c, 0.0, 999999.0
R_UPP3S, b3804, "Uroporphyrinogen-III synthase", M_hmbil_c -> M_h2o_c + M_uppg3_c, 0.0, 999999.0
R_E4PD, b2927, "Erythrose 4-phosphate dehydrogenase", M_e4p_c + M_h2o_c + M_nad_c <-> M_4per_c + 2.0 M_h_c + M_nadh_c, -999999.0, 999999.0
R_AMALT2, b3416, "Amylomaltase (maltotetraose)", M_malt_c + M_maltttr_c -> M_glc__D_c + M_maltpt_c, 0.0, 999999.0
R_DHCINDO_1, b0348, "2,3-dihydroxycinnamate 1,2-dioxygenase", M_dhcinnm_c + M_o2_c -> M_hkntd_c, 0.0, 999999.0
R_TMPPP, b3993, "Thiamine-phosphate diphosphorylase", M_2mahmp_c + M_4mpetz_c + M_h_c -> M_ppi_c + M_thmmp_c, 0.0, 999999.0
R_EX_mal__L_e, , "L-Malate exchange", M_mal__L_e <-> M_mal__L_b, -999999.0, 999999.0
R_HKNTDH_1, b0349, "2-hydroxy-6-ketononotrienedioate hydrolase", M_h2o_c + M_hkntd_c -> M_fum_c + 2.0 M_h_c + M_op4en_c, 0.0, 999999.0
R_MOAT2, b3633, "3-deoxy-D-manno-octulosonic acid transferase", M_ckdo_c + M_kdolipid4_c -> M_cmp_c + M_h_c + M_kdo2lipid4_c, 0.0, 999999.0
R_PPND, b2600, "Prephenate dehydrogenase", M_nad_c + M_pphn_c -> M_34hpp_c + M_co2_c + M_nadh_c, 0.0, 999999.0
R_THRt2r, b3116, "L threonine reversible transport via proton symport", M_h_e + M_thr__L_e <-> M_h_c + M_thr__L_c, -999999.0, 999999.0
R_TMDS, b2827, "Thymidylate synthase", M_dump_c + M_mlthf_c -> M_dhf_c + M_dtmp_c, 0.0, 999999.0
R_PUNP6, (b2407 | b4384), "Purine-nucleoside phosphorylase (Deoxyinosine)", M_din_c + M_pi_c <-> M_2dr1p_c + M_hxan_c, -999999.0, 999999.0
R_EX_his__L_e, , "L-Histidine exchange", M_his__L_e <-> M_his__L_b, -999999.0, 999999.0
R_PTRCt2, b0692, "Putrescine transport in via proton symport, reversible", M_h_e + M_ptrc_e <-> M_h_c + M_ptrc_c, -999999.0, 999999.0
R_KARA2, b3774, "Ketol-acid reductoisomerase (2-Acetolactate)", M_2ahbut_c + M_h_c + M_nadph_c -> M_23dhmp_c + M_nadp_c, 0.0, 999999.0
R_DHNPA2r, b3058, "Dihydroneopterin aldolase reversible", M_dhnpt_c -> M_6hmhpt_c + M_gcald_c, 0.0, 999999.0
R_EX_hxan_e, , "Hypoxanthine exchange", M_hxan_e <-> M_hxan_b, -999999.0, 999999.0
R_ARBt2r, b2841, "L-arabinose transport via proton symport", M_arab__L_e + M_h_e <-> M_arab__L_c + M_h_c, -999999.0, 999999.0
R_IDOND, b4267, "L-idonate 5-dehydrogenase", M_5dglcn_c + M_h_c + M_nadh_c <-> M_idon__L_c + M_nad_c, -999999.0, 999999.0
R_ADK4, b0474, "Adentylate kinase (ITP)", M_amp_c + M_itp_c <-> M_adp_c + M_idp_c, -999999.0, 999999.0
R_AMANAPEr, b3223, "N-acetylmannosamine 6-phosphate epimerase", M_acmanap_c -> M_acgam6p_c, 0.0, 999999.0
R_EX_glcn_e, , "D-Gluconate exchange", M_glcn_e <-> M_glcn_b, -999999.0, 999999.0
R_PGL, , "6-phosphogluconolactonase", M_6pgl_c + M_h2o_c -> M_6pgc_c + M_h_c, 0.0, 999999.0
R_XYLI1, b3565, "Xylose isomerase", M_xyl__D_c <-> M_xylu__D_c, -999999.0, 999999.0
R_UHGADA, b0096, "UDP-3-O-acetylglucosamine deacetylase", M_h2o_c + M_u3aga_c -> M_ac_c + M_u3hga_c, 0.0, 999999.0
R_GLXCL, b0507, "Glyoxalate carboligase", 2.0 M_glx_c + M_h_c -> M_2h3oppan_c + M_co2_c, 0.0, 999999.0
R_MTRI, , "5-methylthioribose-1-phosphate isomerase", M_5mdr1p_c <-> M_5mdru1p_c, -999999.0, 999999.0
R_PLIPA2, b3821, "Phosphlipase A (phosphatidylethanolamine)", M_h2o_c + 0.02 M_pe_EC_c -> 0.02 M_agpe_EC_c + M_h_c + 0.36 M_hdca_c + 0.07 M_hdcea_c + 0.5 M_ocdcea_c + 0.02 M_ttdca_c + 0.05 M_ttdcea_c, 0.0, 999999.0
R_LYSt2r, b2156, "L lysine reversible transport via proton symport", M_h_e + M_lys__L_e <-> M_h_c + M_lys__L_c, -999999.0, 999999.0
R_RMI, b3903, "L-rhamnose isomerase", M_rmn_c <-> M_rml_c, -999999.0, 999999.0
R_PPCDC, , "Phosphopantothenoylcysteine decarboxylase", M_4ppcys_c + M_h_c -> M_co2_c + M_pan4p_c, 0.0, 999999.0
R_EX_arg__L_e, , "L-Arginine exchange", M_arg__L_e <-> M_arg__L_b, -999999.0, 999999.0
R_ARGDC, (b2938 | b4117), "Arginine decarboxylase", M_arg__L_c + M_h_c -> M_agm_c + M_co2_c, 0.0, 999999.0
R_EX_fuc1p__L_e, , "L-Fucose 1-phosphate exchange", M_fuc1p__L_e <-> M_fuc1p__L_b, -999999.0, 999999.0
R_ME1, b1479, "Malic enzyme (NAD)", M_mal__L_c + M_nad_c -> M_co2_c + M_nadh_c + M_pyr_c, 0.0, 999999.0
R_DHORD5, b0945, "Dihydroorotic acid (menaquinone-8)", M_dhor__S_c + M_mqn8_c -> M_mql8_c + M_orot_c, 0.0, 999999.0
R_TRPAS2, b3708, "Tryptophanase (L-tryptophan)", M_h2o_c + M_trp__L_c <-> M_indole_c + M_nh4_c + M_pyr_c, -999999.0, 999999.0
R_EX_thr__L_e, , "L-Threonine exchange", M_thr__L_e <-> M_thr__L_b, -999999.0, 999999.0
R_MCITS, b0333, "2-methylcitrate synthase", M_h2o_c + M_oaa_c + M_ppcoa_c -> M_2mcit_c + M_coa_c + M_h_c, 0.0, 999999.0
R_AKGDH, (b0727 & b0116 & b0726), "2-Oxogluterate dehydrogenase", M_akg_c + M_coa_c + M_nad_c -> M_co2_c + M_nadh_c + M_succoa_c, 0.0, 999999.0
R_ASPabc, (b0653 & b0654 & b0655 & b0652), "L-aspartate transport via ABC system", M_asp__L_e + M_atp_c + M_h2o_c -> M_adp_c + M_asp__L_c + M_h_c + M_pi_c, 0.0, 999999.0
R_GP4GH, b0049, "Gp4G hydrolase", M_gp4g_c + M_h2o_c -> 2.0 M_gdp_c + 2.0 M_h_c, 0.0, 999999.0
R_OBTFL, (b3114 | (b0902 & b0903)), "2-Oxobutanoate formate lyase", M_2obut_c + M_coa_c -> M_for_c + M_ppcoa_c, 0.0, 999999.0
R_AST, b1747, "Arginine succinyltransferase", M_arg__L_c + M_succoa_c -> M_coa_c + M_h_c + M_sucarg_c, 0.0, 999999.0
R_ALATA_L, , "L-alanine transaminase", M_akg_c + M_ala__L_c <-> M_glu__L_c + M_pyr_c, -999999.0, 999999.0
R_MALTTRabc, (b4032 & b4035 & b4033 & b4036 & b4034), "Maltotriose transport via ABC system", M_atp_c + M_h2o_c + M_malttr_e -> M_adp_c + M_h_c + M_malttr_c + M_pi_c, 0.0, 999999.0
